#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
123.302612,0.047964,0.001481,0.000000,0.000000,123.352355
130.805124,0.039744,0.001475,0.000000,0.000000,130.846736
124.825611,0.039130,0.001351,0.000000,0.000000,124.866390
125.600776,0.038898,0.001368,0.000000,0.000000,125.641497
123.279722,0.081861,0.001630,0.000000,0.000000,123.363571
124.141490,0.122452,0.002044,0.000000,0.000000,124.266380
153.103110,0.093058,0.467123,0.000000,0.000000,153.663614
138.376696,0.082894,0.603240,0.000000,0.000000,139.063373
142.211451,0.083822,0.490635,0.000000,0.000000,142.786368
134.127436,0.101821,0.506395,0.000000,0.000000,134.736161
129.854720,0.173106,0.586678,0.000000,0.000000,130.615467
128.233488,0.107594,0.411478,0.000000,0.000000,128.752824
131.188747,0.097089,0.369150,0.000000,0.000000,131.655340
138.376420,0.083121,0.325864,0.000000,0.000000,138.786017
138.665296,0.067768,0.330682,0.000000,0.000000,139.064203
142.879314,0.120663,0.340007,0.000000,0.000000,143.340355
145.295276,0.094482,0.001783,0.000000,0.000000,145.391977
144.703592,0.075916,0.001405,0.000000,0.000000,144.781113
141.729861,0.059206,0.001474,0.000000,0.000000,141.790852
146.742581,0.077049,0.001402,0.000000,0.000000,146.821286
154.465872,0.096885,0.001641,0.000000,0.000000,154.564777
145.669350,0.088838,0.001430,0.000000,0.000000,145.759972
150.816214,0.079982,0.001633,0.000000,0.000000,150.898256
152.102079,0.090414,0.001636,0.000000,0.000000,152.194632
140.998935,0.065395,0.001948,0.000000,0.000000,141.066677
150.493050,0.092794,0.001627,0.000000,0.000000,150.587919
145.307126,0.090932,0.001585,0.000000,0.000000,145.400028
141.331502,0.077169,0.001581,0.000000,0.000000,141.410588
143.194640,0.091730,0.001707,0.000000,0.000000,143.288442
131.159564,0.074674,0.001669,0.000000,0.000000,131.236195
131.851102,0.106521,0.001773,0.000000,0.000000,131.959823
131.968925,0.107723,0.001361,0.000000,0.000000,132.078439
117.901731,0.102186,0.001100,0.000000,0.000000,118.005429
120.241774,0.103920,0.002028,0.000000,0.000000,120.348222
122.860791,0.121221,0.001549,0.000000,0.000000,122.983849
116.600180,0.114860,0.001910,0.000000,0.000000,116.717246
121.730585,0.167593,0.001708,0.000000,0.000000,121.900070
126.481428,0.113938,0.001357,0.000000,0.000000,126.596927
120.868317,0.149956,0.001785,0.000000,0.000000,121.020589
116.065580,0.130927,0.001782,0.000000,0.000000,116.198591
112.028728,0.116029,0.001195,0.000000,0.000000,112.146130
120.590091,0.104688,0.000985,0.000000,0.000000,120.695973
130.336706,0.193537,0.001567,0.000000,0.000000,130.532003
124.950055,0.147541,0.002143,0.000000,0.000000,125.100513
131.413801,0.100864,0.001910,0.000000,0.000000,131.517190
122.523742,0.128413,0.001721,0.000000,0.000000,122.654078
