#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,1.515713,2.352487,0.000000,2.093712,3.060139,0.054461,9.566966
0.000000,0.000000,1.524327,2.261198,0.000000,1.493555,3.013075,0.428274,10.161918
0.000000,0.000000,1.571371,2.171094,0.000000,1.959654,3.257175,0.059101,9.711740
0.000000,0.000000,1.612406,2.649937,0.000000,1.581156,3.033038,0.385941,10.801651
0.000000,0.000000,1.676395,1.999758,0.000000,1.957019,3.598562,0.055148,9.717828
0.000000,0.000000,2.298044,2.101682,0.000000,1.525297,3.112711,0.051633,11.154267
0.000000,0.000000,2.569588,1.947180,0.000000,2.823475,3.020431,0.408369,10.304386
0.000000,0.000000,1.578408,2.002742,0.000000,2.113090,3.198878,0.052725,10.952043
0.000000,0.000000,1.735727,2.016141,0.000000,1.489907,3.197723,0.049410,10.216113
0.000000,0.000000,1.588740,2.353451,0.000000,1.480265,2.781018,0.490139,9.740512
0.000000,0.000000,1.723219,2.579628,0.000000,2.259131,3.545033,0.058453,10.184742
0.000000,0.000000,1.628485,2.368346,0.000000,1.526371,3.648446,0.057936,11.008250
0.000000,0.000000,1.662213,2.278201,0.000000,1.400768,3.300392,0.058488,10.314837
0.000000,0.000000,1.592996,2.358216,0.000000,1.179100,2.911185,0.060713,9.893582
0.000000,0.000000,4.179043,2.451348,0.000000,1.112251,2.610494,0.727809,11.952373
0.000000,0.000000,1.665402,3.147147,0.000000,3.627365,4.576381,0.072506,10.501663
0.000000,0.000000,2.013780,3.164638,0.000000,2.235033,3.622367,0.068319,14.698587
0.000000,0.000000,1.903784,3.166380,0.000000,2.056498,3.518506,0.073616,12.185910
0.000000,0.000000,1.595994,3.991906,0.000000,1.362744,3.291842,0.071304,12.552247
0.000000,0.000000,1.593715,5.522292,0.000000,1.175834,2.678032,0.827923,13.244747
0.000000,0.000000,1.671835,3.582775,0.000000,3.844805,4.246865,0.075900,11.348698
0.000000,0.000000,1.538632,6.088990,0.000000,1.815429,3.505808,0.076250,17.153029
0.000000,0.000000,1.893898,2.774710,0.000000,1.110523,3.084970,0.779332,11.358166
0.000000,0.000000,2.156495,2.775898,0.000000,3.540435,5.727652,0.075957,11.259536
0.000000,0.000000,4.775568,3.175710,0.000000,1.445575,3.688454,0.073118,18.833723
0.000000,0.000000,1.583025,2.839594,0.000000,1.128211,2.809898,0.667032,10.946577
0.000000,0.000000,1.695334,2.424569,0.000000,2.719824,4.274377,0.063607,9.927515
0.000000,0.000000,1.711523,2.628933,0.000000,1.203991,2.871748,0.068186,12.832157
0.000000,0.000000,1.425408,2.419129,0.000000,1.026545,2.223905,0.528770,9.164201
0.000000,0.000000,1.379852,5.139867,0.000000,2.211388,2.889499,0.475908,11.543993
0.000000,0.000000,1.862856,3.931015,0.000000,1.710623,3.693106,0.052971,12.715620
0.000000,0.000000,1.666931,4.261965,0.000000,1.769392,2.879938,0.405746,12.576332
