#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
11.288369,0.592292,44.570724,1.423132,1.423132,104.706707
11.949206,0.563308,46.275775,4.202838,4.202838,127.785226
10.751984,0.670429,44.963652,4.725810,4.725810,114.737984
14.598386,0.787558,25.740324,1.033814,1.033814,81.613350
10.993357,0.768380,26.830056,0.581982,0.581982,75.850213
11.007520,0.853867,18.810144,1.077356,1.077356,65.354426
9.773521,0.675581,18.184881,0.488804,0.488804,47.943906
8.639045,0.670503,19.774060,0.463101,0.463101,52.764134
8.888857,0.708956,18.133235,0.546399,0.546399,49.411413
9.039207,0.658936,27.256901,0.675971,0.675971,63.643571
9.438095,0.600304,22.768863,7.871988,7.871988,67.772660
8.896158,0.544284,26.817074,0.761423,0.761423,50.566089
10.531702,0.579135,23.942131,0.000000,0.000000,35.053204
13.253006,0.596651,24.649880,0.000000,0.000000,38.499936
9.693992,0.608863,6.537126,0.000000,0.000000,16.840444
9.165503,0.446472,9.204274,0.000000,0.000000,18.816472
8.987445,0.401653,6.042065,0.000000,0.000000,15.431449
8.671978,0.340148,33.065649,0.000000,0.000000,42.079550
9.102917,0.419672,32.224782,1.035131,1.035131,60.835405
8.520625,0.427722,42.893356,0.963463,0.963463,66.536898
9.990492,0.429921,38.177466,0.000000,0.000000,48.598186
9.803745,0.468620,28.411698,0.000000,0.000000,38.684303
9.025951,0.604085,6.695957,0.000000,0.000000,16.326227
8.594233,0.530145,23.185117,0.000000,0.000000,32.309839
6.940166,0.418921,29.868607,1.412501,1.412501,64.463398
7.371545,0.470504,29.184353,1.405849,1.405849,72.559459
9.361171,0.460228,38.359623,0.000000,0.000000,48.181332
9.400867,0.450728,29.487242,0.000000,0.000000,39.339264
9.175344,0.569492,34.467081,0.000000,0.000000,44.212536
9.228442,0.465118,22.565055,0.000000,0.000000,32.260585
9.073764,0.538579,36.958865,1.625337,1.625337,69.944487
9.160826,0.591749,22.945808,0.000000,0.000000,32.698783
10.594000,0.567428,31.759962,1.440374,1.440374,57.792288
10.714756,0.648516,32.858265,1.165622,1.165622,55.145748
8.703296,0.402234,21.101819,0.000000,0.000000,30.207772
9.320099,0.505703,39.242842,1.131274,1.131274,64.439067
10.285913,0.865718,28.879445,0.000000,0.000000,40.031379
8.950677,0.638228,41.442704,1.289990,1.289990,58.111319
7.987907,0.652378,32.134256,1.151366,1.151366,53.178815
7.992258,0.494782,28.438927,1.097466,1.097466,54.309493
8.431265,0.441714,21.575898,0.000000,0.000000,30.449148
9.084810,0.480217,26.832826,0.000000,0.000000,36.398354
10.027063,0.538122,29.642736,0.000000,0.000000,40.208135
10.415317,0.517367,4.655065,0.000000,0.000000,15.588914
10.833628,0.491309,5.078950,0.000000,0.000000,16.404227
10.672553,0.433289,9.886062,0.000000,0.000000,20.992893
9.771100,0.423561,30.525867,0.000000,0.000000,40.721967
11.619389,0.442781,22.322749,0.000000,0.000000,34.385111
13.087874,0.551435,24.797874,0.000000,0.000000,38.437353
20.137100,0.717543,53.400655,0.000000,0.000000,74.255647
13.742552,0.704011,24.989395,0.000000,0.000000,39.436112
12.679575,0.660633,49.725188,0.000000,0.000000,63.065743
12.675863,0.752271,55.185906,0.000000,0.000000,68.614423
14.557996,0.692416,44.158700,0.000000,0.000000,59.409330
14.403810,0.689220,27.044452,0.000000,0.000000,42.137711
12.495150,0.657237,54.750342,0.000000,0.000000,67.902979
11.820338,0.777569,53.499021,0.000000,0.000000,66.097267
13.017656,0.837838,44.101589,0.000000,0.000000,57.958795
11.523338,0.751846,33.157114,0.000000,0.000000,45.432516
11.658707,0.643499,25.347789,0.000000,0.000000,37.651848
10.716769,0.544254,27.546212,0.000000,0.000000,38.807499
15.527771,0.472318,43.871540,1.430694,1.430694,69.782158
11.516764,0.517036,50.810954,0.000000,0.000000,62.845318
10.650623,0.492443,43.136639,1.298270,1.298270,63.853372
9.922715,0.642943,46.037263,0.000000,0.000000,56.603288
7.332200,0.542714,30.289071,1.369335,1.369335,58.557273
6.594328,0.435434,28.345789,2.229593,2.229593,96.664168
6.310885,0.440135,22.365523,2.308873,2.308873,74.451723
5.791200,0.438175,19.089452,1.546722,1.546722,76.419145
5.186929,0.413216,17.014726,1.612409,1.612409,66.591819
4.488099,0.292206,14.903465,1.697635,1.697635,63.314418
5.581835,0.273309,10.717361,1.195641,1.195641,44.469299
14.937355,0.282475,7.631956,0.862621,0.862621,42.495843
7.679641,0.275922,9.599003,0.572852,0.572852,37.703888
7.541009,0.413947,11.510924,0.603758,0.603758,55.337969
8.385474,0.466313,13.472490,0.646399,0.646399,45.501078
7.747836,0.420658,15.262667,0.751802,0.751802,49.998792
9.379348,0.481420,17.939170,0.841379,0.841379,58.767623
9.225870,0.493704,30.009432,0.538566,0.538566,62.196033
10.229026,0.479073,23.687377,0.751066,0.751066,85.146556
9.499080,0.579237,28.212080,1.054102,1.054102,45.537879
11.533948,0.547058,34.274776,0.851922,0.851922,67.331477
11.283531,0.645460,36.831540,1.523935,1.523935,57.119474
9.670950,0.605646,31.214124,0.000000,0.000000,41.491100
9.283411,0.615167,32.703280,1.290036,1.290036,64.944914
10.654501,0.533985,45.325288,1.158602,1.158602,65.817949
11.375840,0.518239,40.289021,1.202304,1.202304,75.266896
10.187567,0.589095,50.268791,1.454888,1.454888,78.052025
13.748369,0.627529,52.411012,0.000000,0.000000,66.787270
11.778013,0.646320,25.153623,0.000000,0.000000,37.578168
9.835860,0.720422,26.571301,0.000000,0.000000,37.127810
8.618312,0.562782,40.570353,0.000000,0.000000,49.751783
10.289049,0.519743,42.691198,1.411151,1.411151,63.011727
14.704291,0.488607,39.419282,1.364601,1.364601,82.258145
8.200621,0.469636,44.490471,0.000000,0.000000,53.161184
8.307058,0.472324,31.837494,1.428381,1.428381,74.682244
7.283394,0.518352,35.853849,1.339208,1.339208,81.527211
7.039849,0.432300,24.921058,1.943257,1.943257,82.725144
6.946356,0.403331,22.801749,1.721214,1.721214,78.176853
5.638745,0.424335,19.906241,1.752325,1.752325,73.062355
4.643472,0.384515,22.898847,1.347217,1.347217,62.516445
5.195598,0.320166,9.620487,1.099962,1.099962,29.091814
5.262055,0.231352,3.902293,0.000000,0.000000,9.395950
4.794433,0.171241,9.520757,1.267015,1.267015,37.915520
5.916114,0.189421,5.283088,0.000000,0.000000,11.388870
5.604243,0.168684,11.118825,0.000000,0.000000,16.892253
7.138639,0.218608,10.888433,0.000000,0.000000,18.245952
8.422675,0.216997,15.644163,11.547318,11.547318,45.833189
9.327426,0.207678,20.531835,1.277063,1.277063,66.050930
9.884475,0.348855,32.428848,1.448487,1.448487,87.781099
9.705084,0.426368,23.937003,1.342507,1.342507,80.109334
9.185492,0.518117,23.256847,1.611076,1.611076,80.317940
7.201675,0.541902,22.097340,1.388864,1.388864,80.878215
8.063498,0.620324,22.707149,1.948030,1.948030,86.064177
6.653021,0.525581,20.078595,1.889903,1.889903,76.584625
7.488344,0.540938,14.645418,1.622085,1.622085,58.562319
8.784505,0.622857,25.465438,1.794936,1.794936,76.114780
10.435081,0.587796,17.418272,1.565081,1.565081,53.511661
9.698033,0.710150,20.832521,1.006369,1.006369,59.687213
8.018632,0.617802,19.829339,0.930608,0.930608,62.738327
7.904177,0.625459,28.516346,0.844465,0.844465,54.132604
6.498550,0.514315,18.298648,0.538568,0.538568,53.036470
6.458988,0.435238,29.595958,0.722454,0.722454,54.232215
6.785501,0.430256,22.828672,0.952535,0.952535,48.872734
6.802945,0.412450,23.209448,1.067702,1.067702,68.374318
7.477638,0.448117,25.473838,0.845158,0.845158,50.772264
8.771346,0.474939,37.510755,1.482619,1.482619,65.856198
9.772243,0.493499,19.976717,0.000000,0.000000,30.242670
8.235084,0.581625,28.506015,1.810391,1.810391,65.060997
